bjdongCd,block,bun,crtnDay,ji,lot,mgmPmsrgstPk,mgmSigunguCd,platGbCd,platPlc,ranoSeqno,ranoYear,rdasnChangDay,rdasnDay,rdasnGbCd,rdasnGbCdNm,rnum,roadAreaTotal,roadChangDay,roadChangOdr,roadCloseDay,roadLenTotal,roadWidthTotal,sigunguCd,splotNm
10100, ,0012,20190109,0002, ,11110-100030002,11110,0,서울특별시 종로구 청운동 12-2번지,3,2018, ,20180222,1,지정,1,26.4, ,0, ,9.58,2.5,11110, 
10100, ,0052,20100112,0026, ,11110-100008788,11110,0,서울특별시 종로구 청운동 52-26번지,4,2009, ,20090223,1,지정,2,0, ,0, ,0,0,11110, 
10100, ,0053,20120229,0031, ,11110-100013423,11110,0,서울특별시 종로구 청운동 53-31번지,4,2011, ,20110302,1,지정,3,25.58, ,0, ,0,0,11110, 
10100, ,0053,20090610,0078, ,11110-100007235,11110,0,서울특별시 종로구 청운동 53-78번지,39,2008, ,20081021,1,지정,4,0, ,0, ,0,0,11110, 
10100, ,0056,20171118,0044, ,11110-100023469,11110,0,서울특별시 종로구 청운동 56-44번지,17,2015, ,20150817,1,지정,5,0, ,0, ,0,0,11110, 
10100, ,0057,20170603,0042, ,11110-100025790,11110,0,서울특별시 종로구 청운동 57-42번지,13,2016, ,20160707,1,지정,6,0, ,0, ,0,0,11110, 
10200, ,0002,20120929,0051, ,11110-100015118,11110,0,서울특별시 종로구 신교동 2-51번지,2,2012, ,20120109,1,지정,1,0, ,0, ,0,0,11110, 
10200, ,0039,20171118,0002, ,11110-100017643,11110,0,서울특별시 종로구 신교동 39-2번지,16,2013, ,20130610,1,지정,2,7.91, ,0, ,31.63,3,11110, 
10300, ,0003,20160824,0006, ,11110-100025156,11110,0,서울특별시 종로구 궁정동 3-6번지,5,2016, ,20160331,1,지정,1,109.81, ,0, ,46.71,6.99,11110, 
10300, ,0003,20180905,0006, ,11110-100026114,11110,0,서울특별시 종로구 궁정동 3-6번지,19,2016, ,20160823,1,지정,2,109.81, ,0, ,46.71,6,11110, 
10300, ,0003,20180726,0018, ,11110-100030086,11110,0,서울특별시 종로구 궁정동 3-18번지,5,2018, ,20180308,1,지정,3,0, ,0, ,0,0,11110, 
10300, ,0004,20140429,0001, ,11110-100019858,11110,0,서울특별시 종로구 궁정동 4-1번지,5,2014, ,20140428,1,지정,4,17.15, ,0, ,15.6,1.244,11110, 
10300, ,0029,20110107,0002, ,11110-100011213,11110,0,서울특별시 종로구 궁정동 29-2번지,40,2009, ,20091203,1,지정,5,5.44, ,0, ,20.24,4,11110, 
10400, ,0043,20110119,0000, ,11110-100011854,11110,0,서울특별시 종로구 효자동 43번지,17,2010, ,20100415,1,지정,1,0, ,0, ,0,0,11110, 
10400, ,0164,20140103,0011, ,11110-100017198,11110,0,서울특별시 종로구 효자동 164-11번지,3,2013, ,20130305,1,지정,2,9.6, ,0, ,0,0,11110, 
10400, ,0171,20110722,0000, ,11110-100012769,11110,0,서울특별시 종로구 효자동 171번지,27,2010, ,20101110,1,지정,3,0, ,0, ,0,0,11110, 
10500, ,0130,20130416,0004, ,11110-100011401,11110,0,서울특별시 종로구 창성동 130-4번지,2,2010, ,20100127,1,지정,1,0, ,0, ,20.3,4,11110, 
10600, ,0002,20170413,0001, ,11110-100011855,11110,0,서울특별시 종로구 통의동 2-1번지,9,2015, ,20100415,1,지정,1,0, ,0, ,0,0,11110, 
10600, ,0007,20180802,0033, ,11110-100027802,11110,0,서울특별시 종로구 통의동 7-33번지,12,2017, ,20170427,1,지정,2,0, ,0, ,0,0,11110, 
10600, ,0019,20181020,0001, ,11110-100028673,11110,0,서울특별시 종로구 통의동 19-1번지,18,2017, ,20170811,1,지정,3,1.3, ,0, ,1.8,0,11110, 
10600, ,0028,20170427,0001, ,11110-100011866,11110,0,서울특별시 종로구 통의동 28-1번지,18,2010, ,20100421,1,지정,4,0, ,0, ,0,0,11110, 
10600, ,0035,20190227,0018, ,11110-100030822,11110,0,서울특별시 종로구 통의동 35-18번지,13,2018, ,20180604,1,지정,5,32.8, ,0, ,19.85,4,11110, 
10600, ,0035,20090326,0029, ,11110-100006234,11110,0,서울특별시 종로구 통의동 35-29번지,30,2008, ,20080716,1,지정,6,0, ,0, ,0,0,11110, 
10600, ,0083,20130905,0001, ,11110-100016319,11110,0,서울특별시 종로구 통의동 83-1번지,18,2012, ,20120904,1,지정,7,3.5, ,0, ,12,0.29,11110, 
10600, ,0083,20121207,0002, ,11110-100015404,11110,0,서울특별시 종로구 통의동 83-2번지,8,2012, ,20120309,1,지정,8,0, ,0, ,0,0,11110, 
